ts,value,time_ms,time_s
1575298369.044171,32.0,14:52:49.044171,14:52:49
1575298369.0946133,32.0,14:52:49.094613,14:52:49
1575298423.1199698,32.0,14:53:43.119970,14:53:43
1575298423.1701176,32.0,14:53:43.170118,14:53:43
1575298423.220244,32.0,14:53:43.220244,14:53:43
1575298423.2703652,32.0,14:53:43.270365,14:53:43
1575298423.3204875,32.0,14:53:43.320487,14:53:43
1575298423.5711567,32.0,14:53:43.571157,14:53:43
1575298423.6212974,48.0,14:53:43.621297,14:53:43
1575298423.6714199,48.0,14:53:43.671420,14:53:43
1575298423.7215462,64.0,14:53:43.721546,14:53:43
1575298423.7716722,64.0,14:53:43.771672,14:53:43
1575298423.821808,64.0,14:53:43.821808,14:53:43
1575298423.871946,64.0,14:53:43.871946,14:53:43
1575298423.9220767,64.0,14:53:43.922077,14:53:43
1575298423.9722009,64.0,14:53:43.972201,14:53:43
1575298424.0223231,64.0,14:53:44.022323,14:53:44
1575298424.0724466,64.0,14:53:44.072447,14:53:44
1575298424.1225913,64.0,14:53:44.122591,14:53:44
1575298424.3231258,32.0,14:53:44.323126,14:53:44
1575298424.3732655,32.0,14:53:44.373266,14:53:44
1575298424.4233975,48.0,14:53:44.423398,14:53:44
1575298424.4736967,48.0,14:53:44.473697,14:53:44
1575298424.5238528,48.0,14:53:44.523853,14:53:44
1575298424.5739856,48.0,14:53:44.573986,14:53:44
1575298424.6241145,32.0,14:53:44.624115,14:53:44
1575298424.8247426,48.0,14:53:44.824743,14:53:44
1575298424.874884,48.0,14:53:44.874884,14:53:44
1575298424.925007,48.0,14:53:44.925007,14:53:44
1575298424.9751365,32.0,14:53:44.975137,14:53:44
1575298425.9780762,32.0,14:53:45.978076,14:53:45
1575298426.1089785,24.0,14:53:46.108979,14:53:46
1575298426.9937172,32.0,14:53:46.993717,14:53:46
1575298427.1486769,32.0,14:53:47.148677,14:53:47
1575298427.3562315,32.0,14:53:47.356231,14:53:47
1575298427.4773102,32.0,14:53:47.477310,14:53:47
1575298427.9468622,48.0,14:53:47.946862,14:53:47
1575298428.08539,32.0,14:53:48.085390,14:53:48
1575298428.7395287,32.0,14:53:48.739529,14:53:48
1575298428.789896,32.0,14:53:48.789896,14:53:48
1575298428.8400154,32.0,14:53:48.840015,14:53:48
1575298431.69689,32.0,14:53:51.696890,14:53:51
1575298431.747017,32.0,14:53:51.747017,14:53:51
1575298431.7971342,32.0,14:53:51.797134,14:53:51
1575298431.8472574,32.0,14:53:51.847257,14:53:51
1575298431.8973866,32.0,14:53:51.897387,14:53:51
1575298431.9475102,32.0,14:53:51.947510,14:53:51
